"Alabama","32.79148101806641","-86.82768249511719"
"Alaska","64.22677612304688","-152.5772857666016"
"Arizona","34.29308319091797","-111.6643905639648"
"Arkansas","34.89977264404297","-92.43923950195312"
"California","34.04871368408203","-118.2420196533203"
"Colorado","38.99854278564453","-105.5478210449219"
"Connecticut","41.62174606323242","-72.72530364990234"
"Delaware","39.00530242919922","-75.50745391845703"
"Florida","28.64181709289551","-82.48379516601562"
"Georgia","32.65103149414062","-83.44917297363281"
"Hawaii","20.71871376037598","-156.3028106689453"
"Idaho","44.38905334472656","-114.6593704223633"
"Illinois","40.0650520324707","-89.19841003417969"
"Indiana","39.90797424316406","-86.27552795410156"
"Iowa","42.07464981079102","-93.50009155273438"
"Kansas","38.48472595214844","-98.38015747070312"
"Kentucky","37.52661895751953","-85.29056549072266"
"Louisiana","30.44361877441406","-91.1786880493164"
"Maine","45.37869644165039","-69.231201171875"
"Maryland","39.04741668701172","-76.80450439453125"
"Massachusetts","42.2564582824707","-71.81098937988281"
"Michigan","42.37876129150391","-83.21684265136719"
"Minnesota","46.34190368652344","-94.22562408447266"
"Mississippi","32.7508659362793","-89.66521453857422"
"Missouri","38.36763000488281","-92.47742462158203"
"Montana","47.03347015380859","-109.6451187133789"
"Nebraska","41.52715301513672","-99.81085968017578"
"Nevada","39.35620498657227","-116.6552276611328"
"New Hampshire","43.68644332885742","-71.57889556884766"
"New Jersey","40.19783020019531","-74.6706771850586"
"New Mexico","34.42139053344727","-106.1083602905273"
"New York","42.95080184936523","-75.51582336425781"
"North Carolina","35.5433349609375","-79.38561248779297"
"North Dakota","47.44630432128906","-100.4693298339844"
"Ohio","40.29140090942383","-82.79003143310547"
"Oklahoma","35.58346176147461","-97.50822448730469"
"Oregon","43.93572616577148","-120.5529251098633"
"Pennsylvania","40.87370300292969","-77.79936981201172"
"Rhode Island","41.67583465576172","-71.55567932128906"
"Sault Ste. Marie","46.60354995727539","-84.3401870727539"
"South Carolina","33.91351699829102","-80.89907836914062"
"South Dakota","44.43613815307617","-100.2304611206055"
"Tennessee","35.84298324584961","-86.3434066772461"
"Texas","31.49413871765137","-99.35797119140625"
"Utah","39.32378005981445","-111.67822265625"
"Vermont","44.07515335083008","-72.66259765625"
"Virginia","37.51715850830078","-78.84107208251953"
"Washington","47.38037490844727","-120.4409332275391"
"Washington DC","38.95837783813477","-77.02819061279297"
"West Virginia","38.6425666809082","-80.61370849609375"
"Wisconsin","44.63760375976562","-90.01188659667969"
"Wyoming","42.99962615966797","-107.5514526367188"
